dc (V),value(Gm "Vtun" -0.4),value(Gm "Vtun" -0.3),value(Gm "Vtun" -0.2),value(Gm "Vtun" -0.1),value(Gm "Vtun" -2.775558e-17),value(Gm "Vtun" 0.1),value(Gm "Vtun" 0.2),value(Gm "Vtun" 0.3)
-960.0E-3,185.3E-9,184.9E-9,178.6E-9,158.3E-9,133.9E-9,109.8E-9,86.50E-9,63.93E-9
-950.0E-3,185.3E-9,184.8E-9,178.6E-9,158.3E-9,133.9E-9,109.8E-9,86.48E-9,63.92E-9
-940.0E-3,185.2E-9,184.8E-9,178.5E-9,158.3E-9,133.9E-9,109.8E-9,86.47E-9,63.91E-9
-930.0E-3,185.2E-9,184.8E-9,178.5E-9,158.2E-9,133.9E-9,109.8E-9,86.45E-9,63.90E-9
-920.0E-3,185.1E-9,184.7E-9,178.5E-9,158.2E-9,133.8E-9,109.7E-9,86.44E-9,63.89E-9
-910.0E-3,185.1E-9,184.7E-9,178.4E-9,158.2E-9,133.8E-9,109.7E-9,86.42E-9,63.88E-9
-900.0E-3,185.1E-9,184.7E-9,178.4E-9,158.2E-9,133.8E-9,109.7E-9,86.41E-9,63.87E-9
-890.0E-3,185.0E-9,184.6E-9,178.4E-9,158.1E-9,133.8E-9,109.7E-9,86.39E-9,63.86E-9
-880.0E-3,185.0E-9,184.6E-9,178.4E-9,158.1E-9,133.8E-9,109.7E-9,86.38E-9,63.85E-9
-870.0E-3,184.9E-9,184.6E-9,178.3E-9,158.1E-9,133.7E-9,109.7E-9,86.37E-9,63.84E-9
-860.0E-3,184.9E-9,184.5E-9,178.3E-9,158.1E-9,133.7E-9,109.6E-9,86.35E-9,63.84E-9
-850.0E-3,184.9E-9,184.5E-9,178.3E-9,158.0E-9,133.7E-9,109.6E-9,86.34E-9,63.83E-9
-840.0E-3,184.8E-9,184.5E-9,178.3E-9,158.0E-9,133.7E-9,109.6E-9,86.33E-9,63.82E-9
-830.0E-3,184.8E-9,184.4E-9,178.2E-9,158.0E-9,133.7E-9,109.6E-9,86.31E-9,63.81E-9
-820.0E-3,184.8E-9,184.4E-9,178.2E-9,158.0E-9,133.6E-9,109.6E-9,86.30E-9,63.80E-9
-810.0E-3,184.7E-9,184.4E-9,178.2E-9,157.9E-9,133.6E-9,109.6E-9,86.29E-9,63.79E-9
-800.0E-3,184.7E-9,184.3E-9,178.2E-9,157.9E-9,133.6E-9,109.5E-9,86.28E-9,63.78E-9
-790.0E-3,184.7E-9,184.3E-9,178.1E-9,157.9E-9,133.6E-9,109.5E-9,86.27E-9,63.78E-9
-780.0E-3,184.6E-9,184.3E-9,178.1E-9,157.9E-9,133.6E-9,109.5E-9,86.25E-9,63.77E-9
-770.0E-3,184.6E-9,184.3E-9,178.1E-9,157.9E-9,133.5E-9,109.5E-9,86.24E-9,63.76E-9
-760.0E-3,184.6E-9,184.2E-9,178.1E-9,157.8E-9,133.5E-9,109.5E-9,86.23E-9,63.75E-9
-750.0E-3,184.5E-9,184.2E-9,178.0E-9,157.8E-9,133.5E-9,109.5E-9,86.22E-9,63.75E-9
-740.0E-3,184.5E-9,184.2E-9,178.0E-9,157.8E-9,133.5E-9,109.5E-9,86.21E-9,63.74E-9
-730.0E-3,184.5E-9,184.1E-9,178.0E-9,157.8E-9,133.5E-9,109.4E-9,86.20E-9,63.73E-9
-720.0E-3,184.4E-9,184.1E-9,178.0E-9,157.8E-9,133.5E-9,109.4E-9,86.19E-9,63.72E-9
-710.0E-3,184.4E-9,184.1E-9,178.0E-9,157.7E-9,133.4E-9,109.4E-9,86.18E-9,63.72E-9
-700.0E-3,184.4E-9,184.1E-9,177.9E-9,157.7E-9,133.4E-9,109.4E-9,86.17E-9,63.71E-9
