freq (Hz),value(ganho "Vtun" 0.0) (dB)
524.8E3,-98.18
537.0E3,-98.78
549.5E3,-99.38
562.3E3,-99.98
575.4E3,-100.6
588.8E3,-101.2
602.6E3,-101.8
616.6E3,-102.4
631.0E3,-103.0
645.7E3,-103.6
660.7E3,-104.2
676.1E3,-104.8
691.8E3,-105.4
707.9E3,-105.9
724.4E3,-106.5
741.3E3,-107.1
758.6E3,-107.7
776.2E3,-108.3
794.3E3,-108.9
812.8E3,-109.5
831.8E3,-110.1
851.1E3,-110.7
871.0E3,-111.3
891.3E3,-111.9
912.0E3,-112.5
933.3E3,-113.1
955.0E3,-113.7
977.2E3,-114.3
1.000E6,-114.9
1.023E6,-115.5
1.047E6,-116.1
1.072E6,-116.6
1.096E6,-117.2
1.122E6,-117.8
1.148E6,-118.4
1.175E6,-119.0
1.202E6,-119.6
1.230E6,-120.2
1.259E6,-120.8
1.288E6,-121.4
1.318E6,-121.9
1.349E6,-122.5
1.380E6,-123.1
1.413E6,-123.7
1.445E6,-124.3
1.479E6,-124.9
1.514E6,-125.5
1.549E6,-126.0
1.585E6,-126.6
1.622E6,-127.2
1.660E6,-127.8
1.698E6,-128.4
1.738E6,-128.9
1.778E6,-129.5
1.820E6,-130.1
1.862E6,-130.7
1.905E6,-131.2
1.950E6,-131.8
1.995E6,-132.4
2.042E6,-133.0
2.089E6,-133.5
2.138E6,-134.1
2.188E6,-134.7
2.239E6,-135.2
2.291E6,-135.8
2.344E6,-136.4
2.399E6,-136.9
2.455E6,-137.5
2.512E6,-138.1
2.570E6,-138.6
2.630E6,-139.2
2.692E6,-139.7
2.754E6,-140.3
2.818E6,-140.8
2.884E6,-141.4
2.951E6,-141.9
3.020E6,-142.5
3.090E6,-143.0
3.162E6,-143.6
3.236E6,-144.1
3.311E6,-144.6
3.388E6,-145.2
3.467E6,-145.7
3.548E6,-146.3
3.631E6,-146.8
3.715E6,-147.3
3.802E6,-147.8
3.890E6,-148.4
3.981E6,-148.9
4.074E6,-149.4
4.169E6,-149.9
4.266E6,-150.5
4.365E6,-151.0
4.467E6,-151.5
4.571E6,-152.0
4.677E6,-152.5
4.786E6,-153.1
4.898E6,-153.6
5.012E6,-154.1
5.129E6,-154.6
5.248E6,-155.1
5.370E6,-155.6
5.495E6,-156.1
5.623E6,-156.7
5.754E6,-157.2
5.888E6,-157.7
6.026E6,-158.2
6.166E6,-158.7
6.310E6,-159.3
6.457E6,-159.8
6.607E6,-160.3
6.761E6,-160.9
6.918E6,-161.4
7.079E6,-161.9
7.244E6,-162.5
7.413E6,-163.1
7.586E6,-163.6
7.762E6,-164.2
7.943E6,-164.8
8.128E6,-165.4
8.318E6,-166.0
8.511E6,-166.6
8.710E6,-167.2
8.913E6,-167.8
9.120E6,-168.5
9.333E6,-169.2
9.550E6,-169.8
9.772E6,-170.5
10.00E6,-171.2
